,RegionName,CountyName,index_first,index_last,percent_change
0,30004,Fulton County,2089.981553805465,2231.4722981366463,6.769951824385874
1,30041,Forsyth County,2187.417393416081,2468.976911976912,12.871778354158597
2,30324,Fulton County,1820.7807193775936,1754.8917763157897,-3.6187192867643665
3,30043,Gwinnett County,2016.1996002494889,2164.081115692154,7.334666439987688
4,30319,Dekalb County,1966.9895814633728,2028.970877865161,3.1510739551389046
5,30044,Gwinnett County,1919.0887371164945,2055.476495726496,7.106902144344273
6,30318,Fulton County,1745.9870953831212,1845.2011536850248,5.682405016867156
7,30045,Gwinnett County,2110.307207352269,2317.6917989417993,9.827222826468418
8,30317,Dekalb County,1892.7367456769207,2102.6011904761904,11.087883472363902
9,30316,Dekalb County,1872.816787122006,1994.6050804093568,6.502947545365891
10,30046,Gwinnett County,1803.8347533668937,2076.019047619048,15.089203362121543
11,30315,Fulton County,1602.0049091476144,1815.391395154553,13.31996455119954
14,30052,Walton County,1974.505616133599,2175.327380952381,10.170736572126021
16,30058,Dekalb County,1685.8354854045108,1884.332932499599,11.774425726212513
17,30312,Fulton County,1911.562254017971,2003.7885672272769,4.824656535012264
18,30060,Cobb County,1522.3752071791844,1798.9708994708997,18.168693958450667
20,30062,Cobb County,2112.8147130696693,2211.14477124183,4.653983975210899
21,30310,Fulton County,1694.8066721806638,2093.8257575757575,23.543634323889357
22,30064,Cobb County,1948.5320386765943,2106.527777777778,8.108449641325436
23,30309,Fulton County,2214.7068440712874,2236.500927960928,0.984061793459611
24,30066,Cobb County,1749.1203236598997,1921.877192982456,9.876785889782354
25,30308,Fulton County,1928.2179617418872,2026.6211272863009,5.103321693752898
26,30326,Fulton County,2096.9257620191297,2029.5420780100656,-3.213451102063833
27,30067,Cobb County,1509.531884031648,1580.3452922231693,4.691083967196068
28,30040,Forsyth County,2101.10942110369,2388.277777777778,13.667463188244696
29,30039,Gwinnett County,1910.540188956084,2084.7677655677653,9.119283520901961
31,30349,Fulton County,1769.7534765356472,2004.832512315271,13.283151517792133
32,30019,Gwinnett County,2144.1026979191156,2350.777777777778,9.63923416817877
33,30346,Dekalb County,2076.298718432188,2040.6666666666667,-1.716133206132632
36,30022,Fulton County,2132.648884467557,2240.008305788626,5.034087988087766
37,30344,Fulton County,1393.1389540742878,1575.4689754689753,13.087712525836452
38,30024,Gwinnett County,2081.336800134849,2195.504861111111,5.485323709688174
39,30342,Fulton County,1743.8671691521238,1701.2899967416097,-2.441537587476649
41,30341,Dekalb County,1889.612870727085,1884.333587592169,-0.2793843763820656
43,30030,Dekalb County,1770.6198480061898,1871.437830687831,5.693937227416002
44,30339,Cobb County,1843.9366091383129,1819.933507139496,-1.3017314087621334
45,30032,Dekalb County,1561.5198381310386,1694.671626984127,8.527063544223425
46,30338,Dekalb County,1858.8135603701417,1898.56734006734,2.138664175081777
47,30033,Dekalb County,1970.2623344631556,2106.2428774928776,6.901646580315562
49,30034,Dekalb County,1679.1745512256884,1890.9412254412257,12.611355624759875
50,30331,Fulton County,1683.1920766330857,1833.5777777777776,8.934553770328497
51,30035,Dekalb County,1633.603884351307,1894.0277777777776,15.941679370448067
52,30329,Dekalb County,1827.3104153253644,1795.361668059037,-1.748402843784962
53,30038,Dekalb County,1644.9606332349272,1843.3646723646723,12.0613244548941
54,30328,Fulton County,2017.350026064528,2101.0810868635003,4.150546990713154
55,30327,Fulton County,1747.6998745671715,1786.3409586056644,2.210967947117497
56,30350,Fulton County,1671.1637582425833,1678.3253968253969,0.4285419993995582
57,30307,Dekalb County,1856.7730269028543,1999.4119191919192,7.682085544240712
58,30306,Fulton County,1829.0760101834423,2097.921481481482,14.698430781511169
