,RegionName,CountyName,index_first,index_last,percent_change
0,30002,Dekalb County,490685.02065157314,575172.6929907188,17.218310888511684
1,30041,Forsyth County,500971.92131547147,623720.1503560272,24.502017741481133
2,30327,Fulton County,1336609.8879023164,1521514.0374719854,13.833815778503533
3,30043,Gwinnett County,340321.3943480665,404652.6802015549,18.903097754616358
4,30326,Fulton County,595819.1947190365,620522.5508009813,4.146116187746178
5,30324,Fulton County,606156.2175336835,676091.6143232947,11.537520323418105
6,30044,Gwinnett County,296316.35051877674,353960.8110288712,19.45368873812507
7,30319,Dekalb County,693800.6345676375,769411.5843949221,10.898080235167829
8,30045,Gwinnett County,332819.8470384017,389788.3101169586,17.11690681475005
9,30318,Fulton County,352846.56531546684,392436.9681553068,11.220288570598298
10,30046,Gwinnett County,284509.5088473005,339796.80433390586,19.43249479098384
11,30317,Dekalb County,498952.304968112,551636.7766350297,10.55901959813269
12,30047,Gwinnett County,324813.75614134636,386890.7418610112,19.11156302525911
13,30316,Dekalb County,375854.29876172455,411749.80300922506,9.550377464288818
14,30052,Walton County,328165.64567672665,382968.2461140978,16.6996762639063
15,30315,Fulton County,235756.01572762983,253777.31873178625,7.644047999596553
16,30058,Dekalb County,219669.01214800545,266168.2700846191,21.16787319336787
17,30314,Fulton County,227649.29061362057,243251.76096610457,6.853731153928965
18,30060,Cobb County,282683.19463953585,332758.93414189434,17.714438088975427
19,30313,Fulton County,497332.68959506974,512117.9957260631,2.9729206304599862
20,30062,Cobb County,433981.19120213407,520873.4994252574,20.022136900087855
21,30312,Fulton County,515160.6765974741,562499.9415640859,9.189223307818741
22,30064,Cobb County,401927.62581036304,481024.09618573746,19.679281864714028
23,30311,Fulton County,236303.99163390673,269233.7752826219,13.935348032432543
24,30066,Cobb County,364191.37191827834,429795.75196832995,18.0137106775755
25,30310,Fulton County,274375.8784732751,292184.86850118777,6.490727292431174
26,30067,Cobb County,442329.678904715,516839.0275832292,16.844754542135238
27,30309,Fulton County,822042.956865819,913495.1679976052,11.124991749879287
28,30328,Fulton County,614498.8156994487,708487.229639043,15.295133454832241
29,30040,Forsyth County,462211.3456574936,575886.2369866745,24.59370424312688
30,30329,Dekalb County,495465.3977803102,561309.8130002444,13.289407396544314
31,30039,Gwinnett County,293315.2684760187,346336.4560980416,18.0765181088273
32,30360,Dekalb County,411413.9406873728,492754.1262016688,19.770887048308644
33,30017,Gwinnett County,365934.81080835353,430192.0193904378,17.559741977031234
34,30354,Fulton County,212411.00808961596,235432.896501723,10.838368792258702
35,30019,Gwinnett County,385678.0489003929,448611.43584485445,16.317596275932996
36,30350,Fulton County,636073.4179963978,757227.6173935733,19.04720366696122
37,30021,Dekalb County,253582.1731106809,302661.4798603348,19.354399462549075
38,30349,Fulton County,235343.5537280967,276441.96531700896,17.463155857838004
39,30022,Fulton County,523446.24787071743,643963.0692373905,23.02372437607744
41,30024,Gwinnett County,476315.7102120747,587992.972434335,23.446058953742508
42,30345,Dekalb County,528957.145371515,601096.4983837396,13.638033561595492
43,30344,Fulton County,215733.11187062773,257291.37013523257,19.263736523453463
44,30025,Walton County,286359.6288808606,341402.2144090564,19.221489336088016
45,30068,Cobb County,548033.0057373096,647753.893904382,18.1961464224058
46,30342,Fulton County,809356.1308557289,921407.7006090644,13.84453215111423
47,30341,Dekalb County,460743.0465602509,524288.9274632082,13.792043391076431
48,30030,Dekalb County,605436.5529752393,673739.341975353,11.281576684536093
49,30340,Dekalb County,325577.5531955667,378217.50650479505,16.16817645828574
50,30032,Dekalb County,238709.94509796743,265975.2030547923,11.42191957927648
51,30339,Cobb County,514624.7053063377,573611.7071322548,11.462139539298704
52,30033,Dekalb County,435255.2105252424,503389.4822272792,15.653866985260464
53,30338,Dekalb County,590481.8830852871,683298.6857530932,15.71882310475562
54,30034,Dekalb County,221241.09197931396,262588.756466775,18.68896239733217
55,30337,Fulton County,281295.2662797117,312307.48389554594,11.024791858742704
56,30035,Dekalb County,211773.59260237296,249124.4326070369,17.63715652441806
57,30336,Fulton County,235023.18294903985,293509.4308840292,24.88531012179804
58,30038,Dekalb County,235551.77482808553,276497.53828867344,17.382914431645297
59,30331,Fulton County,256875.70316029503,294663.6393792474,14.710591836461855
60,30028,Forsyth County,425619.238797581,514219.43211746454,20.816773595617622
61,30308,Fulton County,654223.6944761678,688095.3899086727,5.177387446907696
62,30307,Dekalb County,678347.7207819537,762105.025268478,12.347252289721638
63,30071,Gwinnett County,290376.6980369604,349681.34060939215,20.423347663001255
64,30097,Gwinnett County,578713.6731597492,708088.5810796823,22.355598963741812
65,30238,Clayton County,200277.1040226808,246950.9873590035,23.304652603243664
66,30101,Cobb County,363261.58406355506,426500.98753502104,17.40877820441421
67,30236,Clayton County,221293.74502710544,272895.5306456371,23.31823053209711
68,30102,Cherokee County,314373.6057684074,376158.14661945746,19.65322142742653
69,30228,Henry County,263191.60247462726,317957.4075385274,20.8083405963455
70,30106,Cobb County,254535.9884405611,307640.30374267924,20.863185448732324
71,30215,Fayette County,379922.7339672509,441558.02111958625,16.223111080698914
72,30107,Cherokee County,358495.3823826327,431069.43010674074,20.244067647891658
73,30214,Fayette County,334699.2931218369,378028.24781737773,12.945636750947145
74,30114,Cherokee County,371531.92399654025,443333.8222952217,19.32590274512993
75,30213,Fulton County,282833.23320552957,332737.1386655072,17.644286314725047
76,30115,Cherokee County,420480.76836644206,506545.4162905808,20.468153218635397
77,30248,Henry County,281720.63735375664,330749.05190096254,17.40320304814621
78,30205,Fayette County,464598.5122831569,534445.3655603953,15.033809069683182
